theta1,theta2,theta3,theta4,theta5,theta6,theta7,x,y,phi
1.93,-0.62,1.18,1.05,-0.28,0.39,-2.9,-7.36,5.49,42.97
0.78,-0.82,0.86,1.25,-2.58,-0.21,-2.75,6.48,3.62,-198.82
0.16,-1.39,-0.26,2.21,-2.84,0.98,-1.11,3.55,-9.15,-128.92
0.88,-2.12,-1.2,3.1,-0.37,1.06,-1.89,7.56,1.35,-30.94
3.02,-1.48,-0.07,1.37,-0.87,0.15,1.34,-9.19,9.69,198.24
0.55,-1.13,-1.43,0.17,-2.88,-1.25,-2.72,3.04,-3.14,-497.9
2.68,-0.33,-1.14,1.86,-2.43,-0.08,-1.05,0.72,7.05,-28.07
3.01,-1.12,-1.35,2.8,-2.94,-0.04,0.54,2.63,7.31,51.57
0.36,-1.97,0.06,1.8,-0.02,1.52,-2.92,7.68,-2.77,-67.04
1.0,-2.15,-1.3,2.37,-0.72,0.55,1.03,8.88,-2.63,44.69
0.3,-3.13,1.48,1.3,-2.31,1.41,-2.62,0.46,-5.35,-204.55
2.95,-3.09,0.31,2.02,-0.5,0.46,-2.27,1.85,6.86,-6.88
1.47,-1.13,1.08,1.41,-0.59,0.79,1.39,-4.15,6.4,253.25
0.57,-2.16,-1.54,2.86,-2.26,1.34,-0.99,-0.58,-7.65,-124.9
0.37,-1.26,0.93,0.7,-0.37,1.17,-0.1,10.98,6.63,82.51
1.92,-0.47,-0.46,0.11,-0.12,-0.34,-2.49,4.66,10.32,-106.0
2.78,-2.56,-0.17,2.11,-0.76,0.66,-3.13,1.66,6.11,-61.31
1.97,-1.12,1.44,1.98,-1.29,-0.29,1.41,-8.19,3.25,234.91
1.34,-3.12,-0.76,1.96,-2.64,1.38,-2.26,-4.51,-2.97,-234.91
0.02,-1.38,-0.29,0.17,-0.53,0.42,-3.04,1.73,-9.65,-265.28
2.43,-2.67,-1.24,0.49,-0.81,1.04,-0.85,3.28,-10.2,-92.25
0.6,-2.72,0.88,1.0,-2.8,1.5,-1.93,-0.78,-5.63,-198.82
2.12,-1.35,-1.44,0.56,-0.08,-0.56,-2.38,6.72,-0.16,-179.34
1.22,-0.92,-1.56,2.71,-1.6,-1.04,1.02,10.18,0.07,-9.74
0.94,-1.57,0.47,0.51,-0.44,-1.09,1.53,14.1,-0.67,20.05
2.27,-1.32,0.19,1.63,-1.46,0.25,-1.19,1.56,12.95,21.2
2.35,-0.71,0.49,2.19,-2.36,0.53,0.72,-9.64,7.74,183.92
0.49,-1.45,-1.53,0.21,-2.05,-1.3,-2.5,0.39,-2.85,-465.81
0.1,-1.54,0.95,1.64,-1.35,-0.75,-1.01,9.0,-5.97,-112.3
2.0,-0.15,-0.71,3.07,-2.81,-1.09,-1.22,2.45,6.01,-52.14
1.58,-1.37,0.34,0.25,-0.66,1.41,0.75,7.16,10.83,131.78
2.68,-0.56,1.06,1.32,-0.85,0.93,-2.52,-10.26,-0.78,118.03
1.06,-2.55,0.61,0.9,-3.02,0.92,-0.78,-0.58,-5.42,-163.87
2.11,-1.42,0.24,2.99,-3.01,-0.19,-2.99,2.16,5.69,-130.06
1.25,-3.07,-0.74,0.58,-0.59,-0.17,1.56,-6.36,-8.36,-67.61
1.96,-1.6,-0.38,1.35,-1.08,-0.81,0.5,11.52,4.71,-3.44
0.45,-2.05,-0.52,1.97,-0.95,-1.31,-2.17,2.29,-5.34,-262.41
2.85,-1.34,-0.88,1.48,-0.88,-0.97,-1.06,3.49,8.04,-45.84
1.52,-1.88,-0.74,0.58,-2.56,-0.57,0.33,-1.37,-0.35,-190.22
3.0,-2.53,-1.55,1.74,-0.42,0.56,1.49,5.43,5.08,131.21
1.07,-0.0,0.36,2.7,-1.8,-0.48,0.07,-1.89,11.34,110.01
1.44,-0.64,0.89,1.92,-3.11,0.34,0.57,3.8,11.15,80.79
1.73,-1.76,-0.43,0.66,-2.21,-0.22,-2.4,3.99,0.03,-265.28
2.06,-1.08,1.47,0.91,-0.05,-0.92,0.2,-10.57,7.93,148.4
1.07,-0.81,0.52,2.9,-0.7,-1.17,-0.46,0.74,8.58,77.35
3.09,-3.09,1.08,2.77,-3.09,1.05,-0.53,1.22,7.25,73.34
0.8,-0.52,-0.25,1.37,-3.0,-0.46,-0.47,3.77,-1.12,-144.96
1.84,-0.69,-1.56,2.81,-2.74,1.02,-0.1,7.2,7.49,33.23
0.64,-1.75,-1.34,1.85,-0.77,-0.36,-3.09,3.63,-6.18,-276.17
1.01,-1.33,1.19,0.68,-0.34,-1.21,-1.57,8.75,5.58,-89.95
0.25,-2.81,-0.27,2.89,-0.43,1.47,-1.99,5.49,-1.99,-50.99
2.09,-0.78,-0.25,3.05,-0.85,1.06,-0.36,-5.94,0.28,226.89
2.05,-1.71,-1.1,2.92,-0.67,0.3,-2.89,2.42,6.11,-63.03
2.19,-2.17,1.21,1.9,-2.28,-0.75,-2.46,1.75,4.84,-135.22
0.99,-1.08,0.49,2.69,-2.25,-0.5,0.94,8.41,8.06,73.34
1.54,-2.09,-0.03,2.12,-1.18,-1.31,-2.34,5.7,1.54,-188.5
2.72,-2.53,-0.46,0.41,-1.22,-0.4,1.19,8.86,-4.23,-16.62
3.05,-2.27,0.01,2.78,-0.12,-0.38,-0.95,-7.41,4.28,121.47
1.94,-0.14,-0.54,2.31,-0.93,-0.39,-2.09,-4.27,9.65,9.17
0.64,-3.0,-1.11,1.15,-0.2,1.17,0.83,-3.15,-6.43,-29.79
2.37,-2.95,1.23,3.12,-1.42,-0.62,0.1,-2.53,7.08,104.85
0.79,-2.46,-1.45,2.89,-1.44,-1.11,-0.87,-3.32,-3.49,-209.13
1.6,-1.29,0.82,0.72,-0.36,-0.77,0.9,4.64,14.56,92.82
0.65,-0.7,-0.86,1.79,-0.67,0.41,-2.56,11.19,0.98,-111.15
0.2,-2.65,-0.98,0.85,-0.5,0.29,-0.76,-11.12,-1.74,-203.4
1.33,-2.32,-0.73,1.23,-2.72,-0.61,1.5,-2.34,-3.4,-132.93
0.92,-1.49,-0.31,2.05,-1.8,0.12,-2.81,7.93,-1.23,-190.22
0.03,-2.1,0.53,1.49,-0.48,-0.66,-2.64,5.03,-6.74,-219.44
1.95,-1.56,-0.02,1.37,-0.97,-0.61,-0.56,9.86,7.81,-22.92
1.57,-2.97,-0.29,1.0,-0.57,-1.18,-2.52,1.53,-5.61,-284.19
1.72,-1.91,-0.52,3.11,-0.15,-1.34,-2.37,2.38,3.49,-83.65
1.43,-0.52,1.02,1.0,-2.13,-1.19,0.03,4.96,7.28,-20.63
2.86,-1.77,-0.52,1.44,-2.71,-1.42,-0.34,-1.54,1.21,-140.95
2.77,-3.09,-1.22,2.69,-1.36,1.4,-2.93,4.1,-0.76,-99.69
2.54,-1.24,-1.36,0.68,-2.63,-1.36,0.35,-2.84,3.13,-173.03
0.75,-0.37,-1.32,1.44,-2.83,-1.35,-0.26,2.21,3.07,-225.75
2.5,-1.09,-0.66,0.63,-0.14,-0.53,-2.0,4.1,9.71,-73.91
2.41,-2.71,-1.36,1.36,-0.14,-0.65,-1.51,3.97,-6.87,-148.97
3.11,-1.16,0.02,2.38,-1.83,-1.5,-0.23,-4.25,7.73,45.26
0.8,-0.52,0.49,0.37,-2.47,0.26,1.07,11.28,1.88,0.0
2.61,-0.34,-1.43,0.52,-1.31,-1.34,-0.83,0.31,3.08,-121.47
2.32,-2.8,1.55,1.29,-0.45,0.54,-2.1,-0.47,9.44,20.05
2.48,-1.47,-0.21,0.97,-3.09,-1.48,-1.14,-2.88,6.43,-225.75
0.36,-3.14,-0.81,1.2,-0.45,-0.8,0.13,-10.99,0.73,-201.11
2.39,-0.12,-1.45,2.49,-0.08,-0.35,-1.2,-9.37,7.94,96.26
0.36,-2.8,-1.41,3.03,-1.92,-1.51,-2.11,-0.69,0.13,-364.4
3.05,-2.75,1.18,2.57,-1.82,0.59,-2.46,-2.98,5.13,20.63
1.03,-0.21,-1.43,0.56,-0.26,1.23,-2.32,11.86,1.18,-80.21
1.85,-2.76,1.1,2.99,-0.54,-0.32,-2.43,-0.61,3.56,-6.3
1.77,-1.09,-0.97,1.35,-2.14,1.0,-0.65,10.6,1.42,-41.83
2.96,-0.53,-1.04,0.04,-0.06,1.13,0.67,-7.56,10.89,181.63
1.97,-1.09,0.34,1.54,-1.83,-0.05,-2.84,1.3,9.13,-112.3
0.1,-1.16,1.32,0.55,-0.57,1.06,-2.03,12.81,1.86,-41.83
1.3,-1.43,-1.2,0.5,-3.04,-0.73,0.09,2.78,4.41,-258.4
0.28,-2.65,1.53,1.35,-0.65,-0.99,-0.53,7.78,-6.79,-95.11
2.7,-2.39,-1.5,0.81,-0.25,1.49,-0.5,9.36,-0.11,20.63
1.16,-2.99,-1.52,0.83,-3.12,-1.5,0.77,2.01,-1.67,-364.97
0.77,-2.19,1.44,1.47,-2.04,-0.87,-0.64,6.2,-4.17,-118.03
1.33,-0.3,-1.51,1.24,-1.0,1.55,-2.21,10.54,5.0,-51.57
0.73,-1.39,0.02,1.85,-2.03,1.21,0.3,12.67,1.69,39.53
2.89,-1.72,-0.16,2.64,-1.59,0.7,-2.83,-3.3,6.79,-4.01
0.12,-3.13,-1.34,2.16,-2.21,0.44,-0.74,-4.84,6.98,-269.29
2.31,-2.71,1.43,1.71,-0.76,-1.36,0.19,2.37,9.55,46.41
2.88,-0.35,0.79,1.29,-0.08,-1.21,0.1,-12.5,-4.44,195.95
3.08,-3.12,1.54,0.99,-1.89,0.89,0.2,0.16,10.45,96.83
2.26,-1.97,-1.0,0.72,-2.9,1.23,-0.98,0.37,-3.27,-151.26
2.88,-1.19,0.75,2.95,-0.8,-0.72,-0.19,-7.37,-2.63,210.85
1.54,-1.99,-1.06,1.2,-3.07,-1.14,-2.06,4.34,0.47,-377.01
1.49,-2.76,-1.44,0.32,-0.57,0.35,-2.44,-6.94,-2.01,-289.34
2.65,-2.59,-1.12,0.04,-0.45,0.76,-2.11,2.6,-7.89,-161.57
1.13,-3.02,0.29,1.69,-2.57,0.3,-2.87,0.12,-3.61,-289.34
0.55,-0.72,0.37,2.13,-0.45,1.16,-1.9,3.12,8.1,65.32
0.54,-1.34,0.59,3.13,-0.83,-0.98,1.11,2.25,5.92,127.2
0.46,-0.63,1.34,0.52,-2.36,-0.57,-1.44,5.92,0.44,-153.55
2.2,-1.73,-1.16,1.86,-2.97,-1.27,-1.6,0.49,3.75,-267.57
0.22,-1.66,-0.11,0.09,-0.17,0.24,-1.99,0.97,-11.28,-193.66
2.63,-2.98,-0.74,2.62,-0.62,1.13,-0.16,1.07,7.23,107.72
1.79,-2.04,-1.46,2.88,-2.14,-0.16,-0.78,4.16,-5.03,-109.43
2.72,-0.33,1.49,1.38,-0.58,0.65,1.36,-0.99,-4.63,383.31
2.43,-1.54,0.19,1.52,-2.11,-0.01,1.1,3.12,11.9,90.53
2.56,-3.06,1.03,2.26,-0.13,-1.21,0.4,-2.69,8.34,106.0
1.82,-1.67,-0.14,0.98,-1.62,0.65,0.15,12.71,3.91,9.74
2.51,-0.46,-0.55,1.15,-2.96,-0.56,-0.4,-0.46,2.31,-72.77
0.97,-0.71,0.17,1.28,-1.0,0.37,0.95,7.72,12.3,116.31
2.23,-0.74,-1.07,1.06,-0.92,-0.86,1.34,6.95,10.72,59.59
2.08,-0.99,1.55,0.74,-0.79,1.01,-1.48,-10.36,7.35,121.47
2.38,-2.85,0.53,0.43,-3.1,-0.64,0.17,-2.01,0.77,-176.47
2.66,-1.25,-0.04,0.44,-1.53,0.31,-0.73,5.05,10.24,-8.02
0.35,-0.61,-0.41,2.81,-1.86,-0.32,-2.12,8.89,-0.72,-123.76
1.82,-1.53,1.4,0.88,-0.89,-0.18,1.06,-2.81,13.32,146.68
2.31,-0.71,-1.27,0.87,-2.59,-0.46,1.07,3.05,0.87,-44.69
1.56,-0.43,-0.42,2.37,-0.56,-0.51,-1.24,-0.81,12.0,44.12
1.79,-1.57,-0.9,1.95,-1.65,-0.72,-2.28,5.61,1.24,-193.66
0.81,-0.66,-0.88,2.09,-1.8,-0.4,-1.62,8.57,-1.54,-140.95
1.51,-1.48,1.36,1.75,-0.64,1.02,0.76,-4.77,3.34,245.23
2.33,-2.56,-1.23,1.34,-1.38,-0.67,1.3,3.85,-8.01,-49.85
2.47,-0.21,1.14,0.86,-0.9,0.39,0.09,-13.46,-2.98,220.02
0.65,-3.05,1.16,0.58,-1.91,1.06,1.07,3.24,-8.99,-25.21
0.98,-2.55,0.47,0.37,-2.08,-0.0,-0.32,-2.84,-5.98,-179.34
1.51,-2.16,-0.2,1.6,-0.33,0.27,0.69,10.31,5.87,79.07
2.35,-2.74,-1.04,2.83,-0.47,-1.16,-0.6,6.95,0.41,-47.56
2.06,-3.03,1.26,1.04,-0.37,-0.34,-1.81,7.63,4.47,-68.18
0.08,-3.11,1.53,1.26,-2.11,0.31,-3.13,0.83,-4.93,-296.22
2.86,-2.14,-0.52,2.54,-1.61,1.42,0.31,-3.78,8.17,163.87
0.26,-2.13,-1.23,1.04,-0.23,1.3,0.43,-0.15,-9.36,-32.09
0.19,-0.32,-0.89,0.53,-2.29,0.12,-2.92,5.8,-3.58,-319.71
3.0,-3.0,-0.34,0.46,-1.81,-1.25,1.34,2.04,-5.66,-91.67
2.18,-1.04,-0.01,2.68,-0.09,0.91,-2.7,-4.46,3.52,110.58
0.9,-0.91,-0.47,2.18,-2.96,1.47,-2.71,7.16,-0.1,-143.24
2.15,-2.39,0.21,1.98,-2.93,-1.1,-0.71,0.46,-1.37,-159.86
1.97,-0.09,1.21,2.34,-0.09,-0.14,-2.75,-1.87,0.29,140.37
1.25,-2.44,-1.29,0.53,-0.16,-1.44,1.0,-6.83,-6.35,-146.1
2.09,-0.77,-1.01,2.13,-0.34,-0.64,0.39,-1.82,14.01,106.0
1.18,-0.81,0.46,2.4,-2.7,1.25,-2.69,5.65,6.58,-52.14
1.35,-2.49,1.3,0.72,-1.47,0.06,-2.34,7.48,-0.83,-164.44
0.9,-2.66,-0.06,0.57,-0.74,-1.11,0.8,-3.93,-9.54,-131.78
3.07,-2.28,-1.06,2.91,-1.37,0.28,0.94,-1.71,8.89,142.67
2.89,-2.14,-0.91,0.87,-2.92,1.33,-0.37,4.66,-2.75,-71.62
2.95,-1.54,-0.16,0.24,-1.64,0.01,-1.93,2.69,4.89,-118.6
0.0,-0.18,-0.91,0.9,-2.8,-1.35,0.5,3.28,0.42,-220.02
0.8,-1.32,-0.51,0.82,-1.31,-0.47,-1.83,4.81,-5.32,-218.87
0.02,-1.2,-0.36,2.11,-0.37,-1.41,-3.02,7.81,-3.04,-242.36
1.01,-1.22,1.31,1.77,-2.27,-1.56,0.9,8.49,3.71,-3.44
1.8,-2.81,-0.74,1.48,-2.47,-1.55,-0.79,0.3,0.83,-291.06
2.49,-2.17,1.5,3.05,-2.67,-1.5,-0.55,3.07,6.26,8.59
2.8,-0.19,1.34,2.17,-1.88,0.1,0.26,-6.1,-7.15,263.56
1.67,-2.32,0.13,2.71,-0.58,-0.2,-2.35,4.24,4.72,-53.86
1.71,-0.87,0.34,2.74,-1.83,0.69,1.56,-3.99,5.62,248.66
3.01,-1.21,0.85,0.3,-0.77,-0.32,-2.35,-7.64,7.69,-28.07
0.7,-2.18,1.08,2.77,-2.92,0.08,-0.91,7.48,-5.0,-79.07
2.93,-2.37,0.45,1.48,-1.26,-1.36,-0.53,4.31,5.99,-37.82
0.63,-2.92,1.26,0.12,-2.81,0.53,-2.62,0.83,-1.9,-332.89
2.62,-3.06,-0.65,2.43,-0.44,1.37,0.35,-0.4,5.52,150.11
1.14,-2.68,-0.02,0.14,-1.92,0.28,0.35,-5.69,-5.96,-155.27
1.7,-1.94,-1.41,0.1,-1.94,-1.34,1.09,-2.16,1.64,-214.29
1.39,-2.04,0.41,0.79,-1.1,-0.14,-1.82,9.04,-2.72,-143.81
2.51,-3.04,0.71,1.5,-1.67,0.52,-2.64,5.7,2.29,-120.89
0.66,-0.38,0.36,1.43,-0.65,-0.12,0.12,6.61,13.26,81.36
2.46,-2.42,-0.55,2.65,-1.93,-0.97,-2.03,3.3,0.5,-159.86
2.49,-2.07,0.14,1.37,-0.21,0.47,-0.32,-1.03,13.1,107.14
1.45,-1.86,1.3,3.0,-2.78,-0.54,-2.99,3.68,3.66,-138.66
2.98,-0.38,0.62,1.14,-1.52,0.9,-1.24,-14.42,-0.02,143.24
0.73,-2.71,-0.15,2.6,-3.09,0.91,-2.91,-0.97,-2.85,-264.71
2.83,-1.57,-1.54,1.49,-2.71,-0.39,1.29,3.13,-1.48,-34.38
1.55,-1.84,-1.07,2.64,-2.57,0.9,1.1,8.59,0.01,40.68
1.19,-1.77,-0.87,2.73,-2.69,-1.35,-0.41,-0.38,-2.46,-181.63
2.88,-2.48,-1.1,2.63,-2.02,0.33,-2.47,4.31,0.74,-127.77
2.67,-2.39,-1.2,0.34,-1.45,0.49,0.42,3.84,-8.52,-64.17
1.81,-0.42,-1.12,1.95,-1.82,0.01,0.79,6.26,11.85,68.75
0.01,-0.54,0.24,2.96,-0.06,0.36,0.77,-1.86,-0.53,214.29
1.75,-2.2,0.06,1.71,-1.48,-0.17,-1.04,10.07,-0.81,-78.5
2.99,-3.14,-1.44,0.86,-3.08,0.77,-2.85,-0.32,-1.91,-337.47
2.97,-1.54,-0.27,0.02,-1.25,-0.72,-1.79,1.98,4.22,-147.82
2.47,-2.43,1.28,1.27,-2.64,-0.11,0.54,6.32,5.79,21.77
0.99,-0.49,0.8,0.49,-1.61,0.73,1.21,6.38,12.69,121.47
0.76,-2.39,1.5,1.56,-2.89,-0.35,-1.89,2.06,-2.21,-211.99
2.71,-1.57,1.55,1.08,-0.06,1.35,-3.06,-7.79,1.52,114.59
2.06,-2.6,-0.08,0.2,-0.46,-1.23,1.13,6.99,-7.7,-56.15
2.0,-1.6,-1.37,0.3,-1.51,-0.94,-2.61,2.83,-1.16,-328.3
2.07,-1.56,-0.0,2.51,-1.68,0.41,-0.79,2.25,11.88,55.0
1.63,-2.31,0.22,1.16,-2.26,-1.28,-0.84,1.44,-0.54,-210.85
0.46,-2.5,0.18,1.77,-1.96,-0.35,0.88,0.02,-10.14,-87.09
2.67,-1.07,1.0,2.45,-0.88,1.0,-1.39,-5.81,-3.31,216.58
